issue_id,title,product,platform,version,component,category,severity,release_blocker,enterprise_blocker,customer_impact,financial_impact,privacy_impact,data_integrity_impact,security_impact,reproducibility,reproduction_steps,expected_result,actual_result,evidence,source_file,source_line,affected_database_tables,affected_api_routes,affected_ui_screens,test_coverage,suspected_root_cause,recommended_fix_direction,recommended_test_after_fix,dependency_on_other_issue,estimated_effort,confidence,status,wave0_resolution,phase37_resolution,wave1c_status,wave1c_note
AUDIT-011,Clinic record_payment has no amount validation (negative/zero/overpayment),Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,api/clinic_api.py record_payment,financial,P1,True,True,A negative or wildly-overpaid amount is accepted and marks the invoice paid with no cap or correction.,High -- payment amounts are financial records with zero server-side sanity checking.,None,clinic_payments can contain negative/nonsensical amounts.,None (tenant isolation on this route is correctly enforced -- see AUDIT-012's note),Always (100%),POST /api/sub/clinic/payments with amount=-50 or amount=999999 against a small invoice; observe it's accepted.,"amount validated as a positive number, capped from meaningfully exceeding the remaining balance (or explicitly tracked as overpayment/credit).","`data.get('amount')` inserted directly with no float() coercion, no sign check, no cap.",docs/audit/04-clinic-financial-audit.md,products/clinic/backend/api/clinic_api.py,785-808,"clinic_payments, clinic_invoices",POST /api/sub/clinic/payments,Billing/payment screens (web + Android),test_payment_recording_and_invoice_status_transitions exists but doesn't exercise these cases (per source read),Route focused on the happy path when originally written; validation not added alongside the later IDOR fix.,"Validate amount is a positive float; decide and implement an explicit overpayment policy (reject, or track as credit).","Negative amount rejected; overpayment either rejected or explicitly tracked, not silently absorbed.",None,S,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 8f315ab; docs/corrections/wave0/clinic-payment-correction.md; tests: clinic_payment_wave0_test.py (9 passing),,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: financial-release-gate-report.md Clinic cases #2/#3/#4 (zero/negative/overpayment all rejected).
AUDIT-012,Clinic record_payment has no idempotency protection (duplicate payment on retry/double-submit),Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,api/clinic_api.py record_payment,financial,P1,True,True,"A network retry or accidental double-tap records the same payment twice, corrupting the invoice's paid/balance status.",High -- 'duplicate payments' is explicitly one of the audit's own P1 example categories.,None,clinic_payments SUM(amount_paid) double-counts a duplicated submission.,None,Reliable under a real double-submit (network retry or UI double-tap),Submit the same payment payload twice in quick succession; observe two clinic_payments rows and a doubled SUM.,"An idempotency-key mechanism, matching create_sale's pattern, collapses a retried submission into one payment.",No idempotency_key field or check exists on this route at all.,docs/audit/04-clinic-financial-audit.md,products/clinic/backend/api/clinic_api.py,785-808,"clinic_payments, clinic_invoices",POST /api/sub/clinic/payments,Billing/payment screens (web + Android),None for duplicate-submission,idempotency_key pattern was added to Retail's create_sale but never propagated to Clinic's payment route.,"Add an idempotency_key column + check, matching create_sale's implementation exactly.","Submit the same idempotency_key twice, assert only one payment row is created.",None,S,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 8f315ab; docs/corrections/wave0/clinic-payment-correction.md; tests: clinic_payment_wave0_test.py::test_duplicate_idempotency_key_returns_original_payment_only,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: financial-release-gate-report.md Clinic case #7 (duplicate idempotency_key collapses to one payment).
AUDIT-013,Clinic invoice creation has no idempotency protection (duplicate invoice on retry/double-submit),Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,api/clinic_api.py create_invoice,financial,P2,False,True,"A double-submitted invoice-creation request creates two real, separately-numbered invoices for the same visit.",Medium -- inflates billed totals until manually caught and corrected.,None,Two clinic_invoices rows for one intended invoice.,None,Reliable under a real double-submit,Submit the same create-invoice payload twice quickly; observe two distinct invoice_number values.,"Idempotency-key protected, matching create_sale's pattern.","`inv_no = f'INV-C-{int(time.time())}-{random.randint(100,999)}'` -- no dedup mechanism.",docs/audit/04-clinic-financial-audit.md,products/clinic/backend/api/clinic_api.py,676-722,"clinic_invoices, clinic_invoice_items",POST /api/sub/clinic/invoices,Billing creation screens,None for duplicate-submission,Same class of gap as AUDIT-012.,Add an idempotency_key column + check.,"Submit the same idempotency_key twice, assert only one invoice is created.",None,S,PROVEN,OPEN,,,OPEN,"Not fixed, not re-scoped this wave. P2; Clinic invoice creation still lacks idempotency protection (payment idempotency, a related but separate code path, was proven fixed -- case Clinic#7). Non-blocking per 28-safe-to-defer (manual workaround exists), but should not be deferred indefinitely."
AUDIT-014,"Clinic invoice creation contains a dead, always-failing, silently-swallowed 'mirror into Accounting' call",Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,api/clinic_api.py create_invoice,code-hygiene,P4,False,False,None to the clinic invoice itself; misleading to a future developer reading the comment.,None,None,None,None,Always (100%) -- fails on every single invoice creation,"Create any invoice; the import `from database.subsystem_db import sub_create, get_accounting_conn` raises ImportError, caught by a bare except.","Either the code and comment are removed (Accounting isn't part of this product), or the integration is actually implemented.",Import fails silently on every call; the comment claims behavior that cannot occur.,docs/audit/04-clinic-financial-audit.md,products/clinic/backend/api/clinic_api.py,723-752,None (never reached),POST /api/sub/clinic/invoices,N/A,None,"Leftover reference to the original monolith's cross-subsystem integration, not trimmed during extraction.",Remove the dead code block and its misleading comment (Accounting is out of scope for the standalone Clinic product).,N/A -- removal only.,None,XS,PROVEN,OPEN,,,OPEN,"Dead code, P4, unchanged."
AUDIT-015,Clinic invoices have no cancelled/voided/draft state,Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,database/schema.py + api/clinic_api.py,functional,P3,False,False,An invoice created in error has no way to be marked void; only unpaid/partial/paid exist.,"Low-Medium -- a real operational annoyance, not a calculation error.",None,None,None,"Always (100%, structural)",Attempt to find a route or status value for cancelling an invoice; none exists.,A 'cancelled'/'voided' status and a route to set it.,Only 'unpaid'/'partial'/'paid' exist.,docs/audit/04-clinic-financial-audit.md,products/clinic/backend/api/clinic_api.py,676-808 (status transitions),clinic_invoices,N/A (missing route),Billing screens,None,Feature not yet built.,"Add a 'cancelled' status + a route to set it (admin-gated), excluded from revenue reporting.","Cancel an invoice, assert it's excluded from billed-revenue totals.",None,S,PROVEN,OPEN,,,OPEN,"Missing invoice states, P3, unchanged. Non-blocking per original deferral reasoning."
AUDIT-016,Retail's SQLite connections never enable PRAGMA foreign_keys=ON,Retail,Windows+Android,aura-fullsuits HEAD f68fd44,database/schema.py,data-integrity,P2,False,True,Orphan rows (e.g. a sale_item referencing a deleted product) are structurally possible and undetected.,"Low-Medium, via corrupted joins in reports.",None,"All declared FOREIGN KEY constraints in Retail's schema are decorative, never enforced.",None,"Always (100%, structural)",Insert a sale_items row referencing a nonexistent product_id directly; observe SQLite does not reject it.,"PRAGMA foreign_keys=ON set on every connection, matching Clinic's schema.py exactly.",Not set anywhere in Retail's _conn().,docs/audit/06-retail-data-integrity.md,products/retail/backend/database/schema.py,35-40 (_conn),all 16+ Retail tables,N/A (connection-level),N/A,None (Clinic has an explicit FK-enforcement test; Retail has no equivalent),Inconsistency between the two products' otherwise-identical connection-factory pattern.,"Add `PRAGMA foreign_keys=ON` to Retail's _conn(), matching Clinic exactly.",Port Clinic's test_foreign_key_enforcement_on_clinic_connection to Retail.,None,XS,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 57a3048; docs/corrections/wave0/data-integrity-correction.md; PRAGMA foreign_keys=ON on every Retail connection,,FIXED_WAVE0_NOT_REVERIFIED_WAVE1C,FK enforcement; not independently re-tested this wave beyond existing suite passing.
AUDIT-017,receive_purchase_order has no transaction wrapper or rollback path,Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/retail_api.py receive_purchase_order,data-integrity,P2,False,True,A crash partway through receiving a multi-line PO leaves partial inventory increments applied with no complete PO record and no automatic cleanup.,"Medium, via corrupted inventory/cost data.",None,Partial writes possible on exception.,None,"Requires an exception mid-function (e.g. malformed unit_cost) -- not normal-path, but reachable",Submit a multi-line PO receipt where one line has a malformed unit_cost; observe earlier lines' inventory increments remain applied with no rollback.,"Explicit BEGIN TRANSACTION / rollback-on-exception, matching create_sale's pattern.","No try/except, no explicit BEGIN, single trailing commit() only.",docs/audit/06-retail-data-integrity.md,products/retail/backend/api/retail_api.py,536-572,"purchase_orders, purchase_order_items, inventory_balances, inventory_movements",POST purchase-order receive route,Purchase order screens,None for the partial-failure case,Route written without the same transactional discipline applied to create_sale.,"Wrap in an explicit BEGIN TRANSACTION / try-except-rollback, matching create_sale.","Simulate a mid-loop exception, assert no partial writes remain.",None,S,PROVEN,OPEN,,,OPEN,"receive_purchase_order still lacks a transaction wrapper. P2, not re-scoped this wave, not a Retail/Clinic sale or payment path so does not block the paid-pilot financial gate, but should be fixed before general release."
AUDIT-018,Clinic's create_invoice and record_payment have no explicit transaction wrapper,Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,"api/clinic_api.py create_invoice, record_payment",data-integrity,P2,False,True,A crash between a payment insert and the invoice-status update can leave a payment recorded with the invoice still showing unpaid/partial -- billed-vs-collected reports would disagree with the sum of actual payments.,"Medium-High -- affects the two routes that move money, worse than Retail's equivalent gap in blast radius.",None,Partial writes possible on exception in either route.,None,"Requires an exception mid-function -- not normal-path, but reachable",Simulate an exception between the clinic_payments insert and the clinic_invoices status UPDATE in record_payment; observe no rollback occurs.,"Explicit BEGIN TRANSACTION / rollback-on-exception on both routes, matching demo_wipe's own pattern in the same file.",Neither route wraps its writes in an explicit transaction; only demo_wipe (a rarely-used utility) does.,docs/audit/07-clinic-data-integrity.md,products/clinic/backend/api/clinic_api.py,"676-753, 785-808","clinic_invoices, clinic_invoice_items, clinic_payments","POST /api/sub/clinic/invoices, POST /api/sub/clinic/payments",Billing/payment screens,None for the partial-failure case,"Same class of gap as AUDIT-017, more severe here given these are money-moving routes.",Wrap both routes in explicit BEGIN TRANSACTION / try-except-rollback.,"Simulate a mid-function exception in each route, assert no partial state remains.",None,S,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 8f315ab; docs/corrections/wave0/clinic-payment-correction.md; BEGIN IMMEDIATE wraps create_invoice/record_payment; tests: clinic_payment_wave0_test.py::test_invoice_creation_is_atomic_no_header_without_lines,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: financial-release-gate-report.md Clinic case #8 -- explicit transaction-rollback fault-injection test confirms record_payment's BEGIN IMMEDIATE wrapper holds under a forced mid-transaction failure.
AUDIT-019,"No backup or restore capability exists in either product, on either platform",Retail+Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,entire product (absence),data-integrity+commercial,P1,True,True,"No way to recover data after data loss (device failure, accidental deletion); no way to export/take ownership of data at all.",Catastrophic in the event of data loss (all sales/patient/billing history unrecoverable).,Medium -- affects patient data recoverability for Clinic specifically.,Total -- no recovery path exists for any data-loss scenario.,None directly,"Always (100%, structural absence)",Search the repo for backup/restore/export-db code; none found. Attempt to find a backup button in either app; the only one found ('Backup & restore' in Settings) opens a 'coming soon' placeholder.,"At minimum, a manual export-to-file backup and a documented restore procedure.",No functional backup/restore code anywhere; a UI element actively implies a feature that doesn't exist.,docs/audit/18-backup-and-recovery-audit.md,"N/A (absence, repo-wide)",N/A,"all tables, both products",none exist,"SettingsScreen.kt 'Backup & restore' row (both products, Android)",None (nothing to test),Feature not yet built.,Build a minimum-viable manual backup (copy/export the SQLite file + WAL/SHM sidecars consistently) and restore procedure before any paid customer relationship.,"Take a backup, corrupt/delete the live DB, restore, verify data integrity.",None,L,PROVEN,FIXED_AND_VERIFIED_WAVE0,"commit 4f37e5d, 27dc45b; docs/corrections/wave0/backup-and-restore-foundation.md; tests: retail_backup_restore_test.py (12 passing), clinic_backup_restore_test.py (4 passing)",,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,"Re-proven this wave: backup-and-recovery-gate.md -- automated suite (12+4 tests) plus a fresh manual corrupt-backup/cross-product-restore pass, plus data-integrity-and-zero-loss-gate.md's hands-on Windows lifecycle pass."
AUDIT-020,Clinic's GET /patients/<id> has no role gate -- any authenticated role can read full clinical history,Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,api/clinic_api.py get_patient,privacy+authorization,P2,False,True,"A Secretary/front-desk role can read the same clinical visit history a Doctor can, beyond what their job function requires.",None,Medium -- over-broad internal access to sensitive medical data.,None,"Authorization design gap (read side, not write side).",Always (100%),Log in as a non-doctor role; call GET /api/sub/clinic/patients/<id>; observe full clinic_visits content returned.,"Clinical content restricted to doctor/admin roles, or a filtered view for other roles.",Only @mt_login_required + @mt_require_subsystem('clinic') -- no @require_clinic_role gate on this or any other read route.,docs/audit/11-clinic-privacy-and-sensitive-data-audit.md,products/clinic/backend/api/clinic_api.py,180-195,"clinic_patients, clinic_visits, clinic_appointments",GET /api/sub/clinic/patients/<id>,Patient detail screen (web + Android),"None -- clinic_rbac_test.py covers write-side role gating, not this read route",Role model was applied to write routes (where the Phase 3 IDOR review focused) but not extended to read routes.,"Decide the intended access policy (e.g. secretary sees demographics/scheduling only, not clinical notes) and either filter the response by role or add a role gate.","Log in as a non-doctor role, assert clinical content is filtered/blocked per the decided policy.",None,S,PROVEN,OPEN,,,OPEN_DOCUMENTED_DESIGN,"Confirmed still present, but confirmed to be the source product's real, deliberate, documented binary access model (docs/security/clinic-rbac-matrix.md), not an unnoticed bug -- re-confirmed this wave in clinic-privacy-release-gate.md. P2, disclosed as a residual risk, not a pilot blocker."
AUDIT-021,Neither Android app sets FLAG_SECURE -- screenshots/recent-apps can capture on-screen data,Retail+Clinic,Android,"android/aura-{retail,clinic} HEAD f68fd44",MainActivity.kt (or equivalent window-flag setup),privacy+security,P3,False,False,OS-level screenshot or recent-apps preview can capture on-screen sale/patient data.,None,"Medium for Clinic specifically (patient data), Low for Retail.",None,OS-level information-disclosure surface.,"Always (100%, structural absence), consequence UNVERIFIED (no device tested)",Grep MainActivity.kt / theme setup for FLAG_SECURE; none found in either app.,FLAG_SECURE set at least for Clinic's patient-data screens (and reasonably for Retail's sale screens too).,Absent from both apps.,"docs/audit/10-android-security-audit.md, docs/audit/11-clinic-privacy-and-sensitive-data-audit.md","android/aura-{retail,clinic}/app/src/main/java/.../MainActivity.kt",entire file (missing flag),N/A,N/A,"All screens, both apps",None (requires a device),"Not considered during the Phase 4 migration (source didn't set it either, per the migration's verbatim-copy approach).","Add `window.setFlags(WindowManager.LayoutParams.FLAG_SECURE, ...)` in MainActivity.onCreate() for at least Clinic.","On a real device, attempt a screenshot; confirm it's blocked/blacked out.",None,XS,PROVEN,OPEN,,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,"Confirmed this wave: SecureScreen.kt applied to BillingScreen.kt and PatientDetailScreen.kt (clinic-privacy-release-gate.md item 3), physically verified working in Wave 1A."
AUDIT-022,Windows builds are unsigned with no installer wrapper,Retail+Clinic,Windows,"dist/AuraRetail, dist/AuraClinic (Phase 2B/3 builds)",products/*/packaging/*.spec,commercial-readiness,P2,True,True,"SmartScreen/Defender warning on first run; no Start Menu entry, no uninstall entry, raw folder distribution only.","None directly, but a real adoption/trust barrier.",None,None,"Low -- unsigned executables are a known, generic AV-flagging risk class.","Always (100%, by design this phase)",Inspect dist/AuraRetail/AuraRetail.exe's signature; none present.,"A real code-signing certificate applied, and an installer (e.g. Inno Setup) wrapping the onedir output.","Unsigned, raw PyInstaller onedir output only.","docs/build/retail-windows-build-report.md, docs/build/clinic-windows-build-report.md, docs/audit/09-windows-security-audit.md","products/retail/packaging/aura_retail.spec, products/clinic/packaging/aura_clinic.spec",N/A (absence),N/A,N/A,N/A,N/A,No signing certificate available in the development environment; installer never built.,Obtain a code-signing certificate; build an Inno Setup (or equivalent) installer wrapper.,Verify signature with signtool; install via the wrapper on a clean VM.,None,M,PROVEN,OPEN,,,FIXED_WITH_LIMITATION,"Installer wrapper: FIXED (Wave 1B Inno Setup installers, both products, re-verified this wave in windows-release-gate-report.md). Signing: STILL UNSIGNED, explicit deferred decision, tracked as its own residual risk -- see windows-release-gate-report.md's signing-impact section. Not silently marked fully fixed."
AUDIT-023,Android staging/release APKs are unsigned,Retail+Clinic,Android,Phase 4 build artifacts,android/aura-*/app/build.gradle,commercial-readiness,P3,True,True,Cannot be distributed to any real user or app store until signed.,None directly,None,None,"None (by design, documented, not a leak)","Always (100%, by design this phase)",Run apksigner verify against app-staging-unsigned.apk / app-release-unsigned.apk; both fail verification.,A real production keystore applied before any real distribution.,No keystore exists yet; already correctly documented as such in Phase 4's own signing guide.,"docs/android/signing-and-release-guide.md, docs/android/android-{retail,clinic}-build-report.md",android/aura-*/keystore.properties.template,"N/A (template only, no real key)",N/A,N/A,N/A,N/A,"No production key generated yet -- known, already-documented gap from Phase 4.",Generate and securely store a production keystore per docs/android/signing-and-release-guide.md before any real release.,apksigner verify passes with the real production certificate.,None,S,PROVEN,OPEN,,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,"Re-proven this wave: android-release-gate-report.md -- fresh signed rebuild, apksigner verification, certificate fingerprint matches android-production-signing-policy.md, both products."
AUDIT-024,Unparameterized SQL identifier interpolation in Retail's .db/.sqlite import preview (low severity),Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/import_api.py,security,P4,False,False,None to other tenants/data -- confined to the uploading user's own ephemeral temp-file copy of their own uploaded database.,None,None,"None (ephemeral, deleted after import preview)",Low -- theoretical self-inflicted issue only.,Would require a maliciously-crafted table name inside the user's own uploaded .db file,Upload a .db file containing a table whose name contains a double-quote character; observe unparameterized f-string SQL construction.,"Table/column identifiers should be validated or properly quoted, on principle, even though no real exploit path exists.","`f'SELECT COUNT(*) FROM ""{t}""'` / `f'SELECT * FROM ""{best}"" LIMIT 50000'` -- unparameterized identifier interpolation.",docs/audit/08-security-audit.md,products/retail/backend/api/import_api.py,"211, 216","N/A (a temp-file copy of the user's own upload, not the app's real database)",POST /api/import/preview (or equivalent),Import wizard,None,"Table names trusted as safe because they originate from SQLite's own catalog, without considering SQLite's permissive identifier-naming rules.","Validate table names against a strict identifier pattern (e.g. `^[A-Za-z0-9_]+$`) before interpolating, or use a proper identifier-quoting helper.","Upload a .db with an adversarial table name, assert safe handling.",None,XS,PROVEN,OPEN,,,OPEN,"Low-severity, unchanged, P4."
AUDIT-025,App version numbers are not synchronized across platforms,Retail+Clinic,Windows+Android,config.py 0.1.0 vs Android versionName 1.0.0,"config.py, android/*/app/build.gradle",commercial-readiness,P4,False,False,No single consistent version number a support agent or customer can quote across platforms.,None,None,None,None,"Always (100%, structural)",Compare config.py's APP_VERSION to android/*/app/build.gradle's versionName.,One synchronized version number across desktop and Android for the same product.,"0.1.0 (desktop) vs 1.0.0 (Android), for both products.",docs/audit/01-version-and-build-matrix.md,"products/{retail,clinic}/backend/config.py, android/*/app/build.gradle",APP_VERSION line; versionName line,N/A,N/A,N/A,N/A,"Two independently-set version literals, never linked.",Adopt one version source of truth (e.g. a shared VERSION file both build systems read).,"Build both platforms, confirm matching version strings.",None,XS,PROVEN,OPEN,,,FIXED_WAVE1B_NOT_REVERIFIED_WAVE1C,Version numbers synchronized across platforms since Wave 1B versioning-policy.md; spot-confirmed via release-candidate-identity-verification.md this wave (APP_VERSION/versionName both 1.0.0-rc.1).
AUDIT-026,No index on products.sku/barcode or clinic_patients.name -- future performance risk at real catalog/patient scale,Retail+Clinic,Windows+Android,aura-fullsuits HEAD f68fd44,database/schema.py (both products),performance,P2,False,True,"Not observable at small scale (measured fast at 5,000 rows); a real risk at the 50,000+-row scale the product should support for a larger customer.",None directly,None,None,None,Structural (schema-evidenced); not reproduced at true scale in this audit,Inspect schema.py for CREATE INDEX statements on products.sku/barcode or clinic_patients.name; none exist.,"An index on the most frequently point-queried columns (barcode/SKU for POS lookups, patient name for search).",No such index in either schema.,"docs/audit/06-retail-data-integrity.md, docs/audit/17-performance-and-scale-audit.md","products/retail/backend/database/schema.py, products/clinic/backend/database/schema.py",table CREATE statements (no accompanying CREATE INDEX),"products, clinic_patients","barcode lookup, patient search routes","POS barcode scan, patient search",None (no load test exists),Indexes not added as the schema was written; not yet a problem at any scale tested to date.,"Add `CREATE INDEX idx_products_sku ON products(company_id, sku)` and an equivalent for clinic_patients.name.","Load-test at 50,000+ rows, measure lookup latency before/after the index.",None,XS,PROVEN (schema) / HIGH-CONFIDENCE INFERENCE (scale impact),OPEN,,,OPEN,"No index added. P2, non-blocking at current/pilot data volumes per original deferral reasoning; must be revisited before onboarding a customer with thousands of products/patients."
AUDIT-027,Android 'Backup & restore' settings row is a non-functional placeholder that misleads users,Retail+Clinic,Android,android/aura-*/app/src/main/java/.../SettingsScreen.kt,SettingsScreen.kt,commercial-readiness,P3,False,False,A user reasonably believing a backup feature exists (because the UI presents one) has no actual protection.,None,None,None,None,Always (100%),"Open Settings on either Android app, tap 'Backup & restore'; observe a 'coming soon' toast.","Either remove the row until the feature exists, or implement it.","Row exists, calls a `soon(...)` placeholder helper.",docs/audit/18-backup-and-recovery-audit.md,"android/aura-{retail,clinic}/app/src/main/java/.../ui/screens/SettingsScreen.kt",~49,N/A,N/A,SettingsScreen (both apps),N/A,UI scaffolding built ahead of the backend feature (AUDIT-019).,"Remove or clearly label as 'coming soon' with no implication of current functionality, until AUDIT-019 is resolved.",N/A -- UI copy/visibility change.,AUDIT-019,XS,PROVEN,OPEN,,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,"Superseded: real backup/restore UI now exists on both platforms (Wave 1A Parts G/L), device-confirmed working (""working just fine, down to the smallest detail even the back up"" -- retail-backup-restore-report.md). The misleading placeholder no longer exists."
AUDIT-028,"delete_product's soft-vs-hard-delete branch decision query is not company-scoped (logic gap, not exploitable)",Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/retail_api.py delete_product,data-integrity,P4,False,False,"Extremely unlikely in practice (requires a product_id collision across tenants); worst case is choosing the wrong delete branch, not a cross-tenant read/write.",None,None,Low -- the actual mutating statements are correctly scoped regardless.,"None (not a live IDOR, per the data-integrity audit's own conclusion)","Only under a cross-tenant product_id numeric collision, which is architecturally possible but not demonstrated as exploitable","N/A -- code-review finding, not independently reproduced as an exploit.","The existence-check query should also filter by company_id, for defense-in-depth consistency with every other query in the file.",`SELECT COUNT(*) FROM sale_items WHERE product_id=?` has no company_id filter.,docs/audit/06-retail-data-integrity.md,products/retail/backend/api/retail_api.py,284,sale_items,DELETE /api/sub/retail/products/<id>,Product management screens,None,Oversight -- every other query in the file consistently filters by company_id.,Add `AND company_id=?` to the existence-check query for consistency.,"N/A -- defense-in-depth hardening, not a reproducible exploit test.",None,XS,PROVEN,OPEN,,,OPEN,"Low-severity, unchanged, P4, not exploitable per original finding."
AUDIT-029,Per-install secret-key file's chmod call is a no-op on Windows,Retail+Clinic,Windows,commercial_runtime/security/app_secret.py,app_secret.py,security,P4,False,False,"None beyond the secret file having the same protection as any other file in the user's own profile directory (not weaker than the rest of the app's data, just not additionally hardened).",None,None,None,Low -- POSIX chmod bits have no effect on Windows NTFS ACLs.,"Always (100%, structural)",Inspect app_secret.py's os.chmod call; note it targets POSIX permission bits with no Windows-specific ACL equivalent.,"On Windows, an explicit ACL restriction (or an accepted documented no-op) rather than a silently-ineffective POSIX call.","`os.chmod(path, stat.S_IRUSR | stat.S_IWUSR)` wrapped in try/except -- silently does nothing meaningful on Windows.",docs/audit/08-security-audit.md,commercial_runtime/security/app_secret.py,55-58 (chmod call),N/A,N/A,N/A,None,Code written for a POSIX-first mental model; Windows behavior not specifically considered.,"Document as an accepted limitation, or add a Windows-specific ACL restriction via pywin32/icacls if additional hardening is desired.",N/A unless a Windows-specific ACL fix is implemented.,None,XS,PROVEN,OPEN,,,OPEN,"No-op chmod on Windows, P4, cosmetic, unchanged."
AUDIT-030,"Both Windows launchers' startup readiness check polls a route no server has ever served, always timing out and killing (or orphaning) a healthy server",Retail+Clinic,Windows,aura-fullsuits HEAD (post corrective-wave0-stop-ship-complete),"products/{retail,clinic}/desktop/launcher_{retail,clinic}.py _wait_for_server()",reliability,P0,True,True,"Total for the packaged Windows desktop experience -- a real customer double-clicking the shipped exe would, ~45 seconds after a successful start, either see the app killed with a generic error, or (in a non-interactive/no-desktop-session launch context) get a silently orphaned server process with no visible window at all.","None directly (does not corrupt data or misstate money), but blocks all use of the Windows packaged product.",None,None observed -- the server itself was healthy and the database was never touched by this defect.,"Secondary finding: the failure path's blocking MessageBoxW call could prevent sys.exit(1) from ever running in a non-interactive launch context, leaving an orphaned, unmanaged server process bound to a loopback port indefinitely.","Always (100%, structural) -- 107/107 (Retail) and 97/97 (Clinic) readiness attempts failed identically in direct reproduction.","Launch the packaged AuraRetail.exe/AuraClinic.exe with a throwaway AURA_APP_DATA directory; observe the server start and answer real API requests via an independent curl process within seconds, while the launcher's own internal readiness check (polling bare 'http://127.0.0.1:<port>') fails every single attempt with HTTPError 404 for the full 45s timeout, then calls _fatal().",The launcher recognizes its own server as ready within a few seconds and proceeds to open the application window.,"Every readiness attempt returned HTTP 404 (no route was ever registered for '/'), so the check never succeeded regardless of actual server health; _fatal() then either killed the process or, when its blocking MessageBoxW call could not return (no interactive desktop session), left the process running unmanaged.","docs/corrections/launcher/pre-fix-reproduction.md, docs/corrections/launcher/root-cause-analysis.md",products/retail/desktop/launcher_retail.py; products/clinic/desktop/launcher_clinic.py,_wait_for_server() (readiness URL construction) and _fatal() (MessageBoxW call),N/A,N/A (fixed by adding GET /api/health to both products' app.py),The entire desktop application window/launch flow for both products.,"None prior to this phase -- no test in the repository exercised either launcher script's main() entry point (all existing tests boot app.py directly via Flask.test_client(), never launcher_retail.py/launcher_clinic.py).","CONFIRMED, not suspected: _wait_for_server(url) was called with url = f'http://{HOST}:{port}' (the bare root path), and neither app.py has ever registered a route for '/' (static_url_path is '/static', not '/'). See root-cause-analysis.md for the full disproof of every alternative hypothesis (proxy, IPv6, threading, port mismatch, race).",Add a dedicated unauthenticated GET /api/health endpoint and point the readiness check at it; use a monotonic clock and an explicit no-proxy opener; distinguish process-exited/health-endpoint-error/timeout failure reasons; bound the failure dialog so it cannot block process exit indefinitely.,"Dependency-injected unit tests against the extracted readiness-check logic, plus a real packaged long-run (10+ minute) smoke test proving the server remains reachable well past the old 43-45s failure window and survives a clean shutdown/restart cycle.",None (Retail/Clinic launchers are independent of the Wave 0 financial/data-safety fixes; discovered while re-verifying those fixes in the packaged artifact),S,PROVEN,FIXED_AND_VERIFIED_LAUNCHER_PHASE,,"commits 074ed8b (reproduction), 6a7dbda (fix: /api/health + commercial_runtime/launcher_support.py + explicit LauncherState lifecycle + bounded failure dialog), 47d421a (15 unit tests, all passing); real packaged rebuild + 10+ minute long-run smoke test for both products (docs/corrections/launcher/packaged-long-run-smoke-report.md) -- readiness now achieved in ~2.5s/2 attempts (first launch) and ~1.5s/1 attempt (after restart), both products ran 10+ minutes without incident, clean shutdown with zero orphan processes, full data persistence across restart, PRAGMA integrity_check ok on both databases. Tag windows-launcher-watchdog-corrected.",FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: automated-regression-report.md's Windows launcher/readiness rerun; windows-release-gate-report.md's fresh install/launch/restart-persistence pass.
